navn,kjønn,benkpress_kg
Per Hansen,male,110
Anne Olsen,female,45
Bjørn Larsen,male,135
Kari Johansen,female,65
Jan Nilsen,male,80
Ingrid Andersen,female,30
Lars Pedersen,male,95
Marit Kristiansen,female,50
Thomas Jensen,male,150
Liv Karlsen,female,60
Kjetil Johnsen,male,70
Eva Eriksen,female,40
Stian Berg,male,115
Berit Haugen,female,55
Anders Pettersen,male,100
Solveig Lien,female,70
Martin Eriksen,male,85
Astrid Solberg,female,48
Espen Dahl,male,125
Tone Knudsen,female,52
Andreas Nguyen,male,90
Silje Myhre,female,68
Magnus Bakke,male,105
Ida Kristoffersen,female,35
Ole Jørgensen,male,75
